Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Score_percentile,GDP per capita_percentile,Social support_percentile,Healthy life expectancy_percentile,Freedom to make life choices_percentile,Generosity_percentile,Perceptions of corruption_percentile
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,100.0,85.9,99.36,82.37,97.44,40.71,98.08
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,99.36,91.67,98.08,84.29,96.79,76.28,98.72
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,98.72,96.15,98.72,91.67,98.72,86.22,95.51
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,98.08,91.03,100.0,90.71,96.15,95.51,69.23
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,97.44,92.95,91.03,86.54,89.1,91.99,92.95
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,96.79,95.51,92.31,97.44,93.59,82.37,96.15
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,96.15,92.31,84.94,88.46,94.23,83.97,96.79
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,95.51,83.33,97.44,90.71,95.51,92.95,97.44
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,94.87,87.82,87.82,94.55,94.87,89.42,93.59
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,94.23,90.38,81.09,89.74,83.33,72.44,88.46
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,93.59,89.1,96.15,93.27,89.1,94.23,92.31
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,92.95,56.41,73.72,81.41,90.71,36.22,58.33
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,92.31,80.13,76.28,92.31,40.38,79.81,48.4
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,91.67,99.36,83.33,89.1,82.05,57.69,94.87
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,91.03,85.26,95.19,84.29,59.62,94.87,91.03
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,90.38,96.79,96.79,86.54,79.17,90.38,94.23
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,89.74,89.74,75.64,83.33,71.47,79.81,89.74
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,89.1,86.54,86.86,82.37,66.03,44.23,87.82
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,88.46,94.23,76.92,73.08,60.26,88.46,71.15
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,87.82,79.49,84.94,79.81,62.5,5.13,18.59
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,87.18,98.08,53.85,59.94,98.08,81.09,86.22
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,86.54,82.05,90.38,86.54,92.63,98.08,78.85
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,85.9,62.82,57.69,69.23,54.49,11.22,40.71
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,85.26,83.97,80.13,96.79,55.77,26.92,87.18
25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,84.62,88.46,69.87,78.53,34.94,70.51,60.58
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,83.97,67.95,63.46,79.81,37.18,54.49,32.69
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,83.33,35.9,50.0,43.59,83.97,47.44,44.55
